,Meand13C,SDd13C,Meand15N,SDd15N,Meand34S,SDd34S,n
browser,-22.20,0.97,8.02,0.13,8.86,0.64,2.00
grazer,-10.4,1.33,8.16,2.06,8.49,2.639,15
