animal ID,date,location,season,species,d13C,d15N,d34S,tissue type,t.subset,weight,long,lat,C/N ratio
AWB-011,21.10.2018,SGR,dry season,AWB,-10.07,9.08,12.49,Feather,basal.barbs,13.80,38.03,-7.63,3.45
AWB-011,21.10.2018,SGR,dry season,AWB,-12.32,9.37,10.54,Feather,proximal.barbs,13.80,38.03,-7.63,3.59
AWB-011,21.10.2018,SGR,dry season,AWB,-16.10,13.60,13.69,Blood,blood,13.8,38.03,-7.63,n/a
AWB-012,16.04.2019,SGR,long rains,AWB,-12.94,11.67,12.81,Feather,basal.barbs,12.00,34.74,-7.51,3.41
AWB-012,16.04.2019,SGR,long rains,AWB,-14.18,13.27,12.86,Feather,proximal.barbs,12.00,34.74,-7.51,3.63
AWB-012,16.04.2019,SGR,long rains,AWB,-13.24,10.34,12.86,Blood,blood,12,34.74,-7.51,n/a
AWB-015,22.04.2019,SGR,long rains,AWB,-11.27,14.46,12.57,Feather,basal.barbs,11.11,37.74,-7.51,3.42
AWB-015,22.04.2019,SGR,long rains,AWB,-11.99,13.75,12.48,Feather,proximal.barbs,11.11,37.74,-7.51,3.63
AWB-015,22.04.2019,SGR,long rains,AWB,-12.29,11.81,12.44,Blood,blood,11.11,37.74,-7.51,n/a
AWB-016,21.10.2018,SGR,dry season,AWB,-13.04,11.94,13.68,Feather,basal.barbs,n/a,38.18,-7.63,3.43
AWB-016,21.10.2018,SGR,dry season,AWB,-12.30,9.79,14.01,Feather,proximal.barbs,n/a,38.18,-7.63,3.48
AWB-016,21.10.2018,SGR,dry season,AWB,n/a,n/a,n/a,Blood,blood,n/a,38.18,-7.63,n/a
AWB-5,30.10.2018,RGR,dry season,AWB,-13.85,9.83,12.30,Feather,basal.barbs,n/a,31.82,-7.39,3.36
AWB-5,30.10.2018,RGR,dry season,AWB,-19.05,9.66,11.02,Feather,proximal.barbs,n/a,31.82,-7.39,3.00
AWB-5,30.10.2018,RGR,dry season,AWB,n/a,n/a,n/a,Blood,blood,n/a,31.82,-7.39,n/a
AWB-0119,25.02.2019,SER,short rains,AWB,-12.60,11.95,9.44,Feather,basal.barbs,12.12,34.96,-2.77,3.278
AWB-0119,25.02.2019,SER,short rains,AWB,-10.54,12.36,9.19,Feather,proximal.barbs,12.12,34.96,-2.77,3.32
AWB-0119,25.02.2019,SER,short rains,AWB,-10.68,10.36,10.46,Blood,blood,12.12,34.96,-2.77,n/a
AWB-01110,24.01.2019,SER,short rains,AWB,-10.88,12.46,9.93,Feather,basal.barbs,13.10,35.11,-2.93,3.28
AWB-01110,24.01.2019,SER,short rains,AWB,-10.42,12.37,10.39,Feather,proximal.barbs,13.10,35.11,-2.93,3.40
AWB-01110,24.01.2019,SER,short rains,AWB,-12.14,11.00,10.59,Blood,blood,13.1,35.11,-2.93,n/a
AWB-01111,24.01.2019,SER,short rains,AWB,-10.63,11.54,10.22,Feather,basal.barbs,12.12,35.11,-2.93,3.382
AWB-01111,24.01.2019,SER,short rains,AWB,-10.77,10.57,10.18,Feather,proximal.barbs,12.12,35.11,-2.93,3.41
AWB-01111,24.01.2019,SER,short rains,AWB,-10.91,10.82,10.60,Blood,blood,12.12,35.11,-2.93,n/a
AWB-01113,26.01.2019,SER,short rains,AWB,-10.00,12.31,8.47,Feather,basal.barbs,11.50,35.02,-2.84,3.3
AWB-01113,26.01.2019,SER,short rains,AWB,-10.75,11.94,10.08,Feather,proximal.barbs,11.50,35.02,-2.84,3.37
AWB-01113,26.01.2019,SER,short rains,AWB,-10.99,10.84,10.31,Blood,blood,11.5,35.02,-2.84,n/a
RPV-01114,26.01.2019,SER,short rains,RPV,-12.86,12.99,7.31,Feather,basal.barbs,16.30,35.02,-2.84,3.29
RPV-01114,26.01.2019,SER,short rains,RPV,-9.96,12.81,9.25,Feather,proximal.barbs,16.30,35.02,-2.84,3.37
RPV-01114,26.01.2019,SER,short rains,RPV,-11.18,11.17,8.09,Blood,blood,16.3,35.02,-2.84,n/a
AWB-01115,26.01.2019,SER,short rains,AWB,-11.92,12.80,9.16,Feather,basal.barbs,10.11,35.02,-2.84,3.296
AWB-01115,26.01.2019,SER,short rains,AWB,-11.81,12.33,8.72,Feather,proximal.barbs,10.11,35.02,-2.84,3.59
AWB-01115,26.01.2019,SER,short rains,AWB,-11.37,8.34,9.75,Blood,blood,10.11,35.02,-2.84,n/a
RPV-01116,26.01.2019,SER,short rains,RPV,-10.00,12.25,10.11,Feather,basal.barbs,14.60,35.02,-2.84,3.352
RPV-01116,26.01.2019,SER,short rains,RPV,-11.23,12.57,9.64,Feather,proximal.barbs,14.60,35.02,-2.84,3.58
RPV-01116,26.01.2019,SER,short rains,RPV,-12.87,11.32,9.62,Blood,blood,14.6,35.02,-2.84,n/a
RPV-01112,25.01.2019,SER,short rains,RPV,-15.75,14.07,12.09,Feather,basal.barbs,15.13,34.99,-2.89,3.287
RPV-01112,25.01.2019,SER,short rains,RPV,-9.83,12.49,11.02,Feather,proximal.barbs,15.13,34.99,-2.89,3.32
RPV-01112,25.01.2019,SER,short rains,RPV,-18.01,13.13,12.26,Blood,blood,15.13,34.99,-2.89,n/a
